	site_no	Mean Flow	Peak Flow	Tqmean	R-B Index	Station
1	3331500.0	1118.534193548387	2347.52	0.384516129032258	0.08323713540747907	Tippecanoe
2	3331500.0	1243.4372413793108	2546.44	0.3922167487684729	0.09141017513737795	Tippecanoe
3	3331500.0	1586.0045161290325	2845.3	0.42516129032258065	0.07514044599944197	Tippecanoe
4	3331500.0	1555.0520000000004	2717.64	0.44999999999999996	0.07493714413693332	Tippecanoe
5	3331500.0	1219.6025806451612	2264.42	0.40258064516129033	0.07814627312333022	Tippecanoe
6	3331500.0	1093.35	2009.42	0.444	0.08414072267768731	Tippecanoe
7	3331500.0	680.3464516129035	1383.04	0.4109677419354839	0.08646069153661104	Tippecanoe
8	3331500.0	471.6193548387098	914.0	0.4070967741935484	0.07107482181290672	Tippecanoe
9	3331500.0	409.1966666666668	737.88	0.37666666666666665	0.06406772594188101	Tippecanoe
10	3331500.0	491.2212903225806	863.82	0.4129032258064516	0.05473488695917417	Tippecanoe
11	3331500.0	688.158	1239.26	0.4006666666666667	0.0708074617652675	Tippecanoe
12	3331500.0	935.2361290322583	1722.58	0.39677419354838717	0.07256855352817772	Tippecanoe
1	3335000.0	1045.4047741935485	4018.82	0.3348387096774193	0.21433240122966826	Wildcat
2	3335000.0	1147.6435221674874	3952.74	0.34199507389162564	0.21976644391995928	Wildcat
3	3335000.0	1422.2251612903228	4162.24	0.3619354838709679	0.21464431208972928	Wildcat
4	3335000.0	1373.3724242424244	4316.98	0.35593939393939406	0.20956556622774375	Wildcat
5	3335000.0	1136.8360763660305	3892.9795918367345	0.3732718894009217	0.20884884984991842	Wildcat
6	3335000.0	1073.0213333333331	3995.76	0.331777777777778	0.2787004210368123	Wildcat
7	3335000.0	663.1460645161292	2511.94	0.3361290322580645	0.23743198740681365	Wildcat
8	3335000.0	331.75219354838714	1489.16	0.2961290322580645	0.23495406023978588	Wildcat
9	3335000.0	345.4254	1276.56	0.316	0.17215807572534395	Wildcat
10	3335000.0	371.32167741935484	1162.24	0.3516129032258064	0.14612493505797056	Wildcat
11	3335000.0	640.7542000000001	2293.22	0.3226666666666667	0.18950929776608116	Wildcat
12	3335000.0	922.6751612903223	3089.5	0.3574193548387097	0.1933598735138116	Wildcat
